responses,TP,n,cond__,effect1__,effect2__,estimate__,se__,lower__,upper__
6,absent,11.176470588235293,1,6,absent,6.228857034010474,1.5920559929903957,3.6366718432720826,10.521691372210395
6,present,11.176470588235293,1,6,present,8.813386780129242,1.594873072733773,5.930220207465391,12.534583246197366
6.090909090909091,absent,11.176470588235293,1,6.090909090909091,absent,6.044405916845944,1.5897056283983848,3.4753126374264,10.348852658235169
6.090909090909091,present,11.176470588235293,1,6.090909090909091,present,8.682385130872012,1.5889773166263883,5.811363811995517,12.399397368473887
6.181818181818182,absent,11.176470588235293,1,6.181818181818182,absent,5.862939497277326,1.5869962403212532,3.316247118400847,10.211770253488822
6.181818181818182,present,11.176470588235293,1,6.181818181818182,present,8.551287845092494,1.5820119834346509,5.685640100129653,12.267678434340818
6.2727272727272725,absent,11.176470588235293,1,6.2727272727272725,absent,5.683545841658745,1.58599465782806,3.165778012435947,10.068338427778993
6.2727272727272725,present,11.176470588235293,1,6.2727272727272725,present,8.424736309970154,1.5769496349445042,5.566969737149863,12.141965007529326
6.363636363636364,absent,11.176470588235293,1,6.363636363636364,absent,5.509452169803563,1.5824788218355688,3.02298263985694,9.932347603391388
6.363636363636364,present,11.176470588235293,1,6.363636363636364,present,8.299467414098306,1.5737775957056315,5.449457288757844,12.018216340914512
6.454545454545455,absent,11.176470588235293,1,6.454545454545455,absent,5.341457374915262,1.5811345392500473,2.88810386973221,9.790404671124598
6.454545454545455,present,11.176470588235293,1,6.454545454545455,present,8.176679229792061,1.5676520575626227,5.331996053571071,11.89288831689272
6.545454545454546,absent,11.176470588235293,1,6.545454545454546,absent,5.1748965756021095,1.5748640416653628,2.75722137237583,9.65284769501948
6.545454545454546,present,11.176470588235293,1,6.545454545454546,present,8.053175545906875,1.5650438516152547,5.214351716837694,11.781017195510696
6.636363636363637,absent,11.176470588235293,1,6.636363636363637,absent,5.012773021773404,1.5710984131664816,2.63101364578991,9.530655178315651
6.636363636363637,present,11.176470588235293,1,6.636363636363637,present,7.926115613740086,1.5610643812511344,5.0972644072712825,11.672415539245975
6.7272727272727275,absent,11.176470588235293,1,6.7272727272727275,absent,4.85338909072831,1.568312440520119,2.5093728610785777,9.421343464257335
6.7272727272727275,present,11.176470588235293,1,6.7272727272727275,present,7.801846631785653,1.5616298221337146,4.985193894718021,11.568776020095129
6.818181818181818,absent,11.176470588235293,1,6.818181818181818,absent,4.695323373252953,1.5660203564757624,2.397819036958368,9.2992808909829
6.818181818181818,present,11.176470588235293,1,6.818181818181818,present,7.682160982481685,1.5611071108213315,4.868700757915728,11.459583104862935
6.909090909090909,absent,11.176470588235293,1,6.909090909090909,absent,4.543822153316496,1.5581237958027703,2.2896518591899793,9.184018748516694
6.909090909090909,present,11.176470588235293,1,6.909090909090909,present,7.565393818304603,1.5615809658803765,4.751846542504486,11.34857306702295
7,absent,11.176470588235293,1,7,absent,4.396798497013332,1.548675048606205,2.187911254402595,9.061543836181514
7,present,11.176470588235293,1,7,present,7.447364443435234,1.5652882856253614,4.64269135348103,11.25231508724288
7.090909090909091,absent,11.176470588235293,1,7.090909090909091,absent,4.252477822666012,1.540720910986484,2.0893715538425943,8.937342222717362
7.090909090909091,present,11.176470588235293,1,7.090909090909091,present,7.335969517651463,1.566567851815786,4.532141881681998,11.15874751015747
7.181818181818182,absent,11.176470588235293,1,7.181818181818182,absent,4.111658728105484,1.5243074962490695,1.9995805022262003,8.8413381902079191
7.181818181818182,present,11.176470588235293,1,7.181818181818182,present,7.216710534642386,1.5694706606497497,4.412973778430931,11.057307714730532
7.2727272727272725,absent,11.176470588235293,1,7.2727272727272725,absent,3.9712348537794906,1.5042753947719456,1.912669245769473,8.744455074574875
7.2727272727272725,present,11.176470588235293,1,7.2727272727272725,present,7.101624014132607,1.573072281052078,4.303245606465218,10.947168101609007
7.363636363636364,absent,11.176470588235293,1,7.363636363636364,absent,3.8388442458883887,1.4893940923703026,1.8321616412087898,8.661318023399513
7.363636363636364,present,11.176470588235293,1,7.363636363636364,present,6.987959748921877,1.577371951246688,4.192632243762917,10.854615265835333
7.454545454545455,absent,11.176470588235293,1,7.454545454545455,absent,3.707713246492276,1.4734007843066614,1.753587201050774,8.54066453900886
7.454545454545455,present,11.176470588235293,1,7.454545454545455,present,6.874981290139257,1.579738702889066,4.082197085619227,10.756143016966098
7.545454545454546,absent,11.176470588235293,1,7.545454545454546,absent,3.5825786244164504,1.453525306729366,1.6832110210184725,8.425591874014447
7.545454545454546,present,11.176470588235293,1,7.545454545454546,present,6.7671315000570775,1.5831905642260193,3.9751688295891525,10.671593750634944
7.636363636363637,absent,11.176470588235293,1,7.636363636363637,absent,3.4608994493809186,1.4290889688843704,1.6182148476077236,8.329136861194252
